article_id,title,journal,pub_year,times_cited,doi,study_type_2,fieldstudy_country,affiliation,affiliation_country
13,Relative influence of environmental factors on the timing and occurrence of multi-species coral reef fish aggregations,PLOS ONE,2018,0,10.1371/journal.pone.0209234,Field-based,Australia,"James Cook Univ, Coll Sci & Engn, Townsville, Qld, Reef Magic Cruises, Reef Educ, Cairns, Qld",Australia
14,Population Dynamics of Benthic-Epiphytic Dinoflagellates on Two Macroalgae From Coral Reef Systems of the Northern Mexican Caribbean,FRONTIERS IN MARINE SCIENCE,2018,0,10.3389/fmars.2018.00487,Field-based,Mexico,"Ctr Invest Cient Yucata, AC Unidad Ciencias Agua, Lab Ecol Costera, Cancun",Mexico
17,Octocoral Sexual Reproduction: Temporal Disparity Between Mesophotic and Shallow-Reef Populations,FRONTIERS IN MARINE SCIENCE,2018,0,10.3389/fmars.2018.00445,Field-based,Israel,"Interuniv Inst Marine Sci Eilat, Elat, Tel Aviv Univ, George S Wise Fac Life Sci, Sch Zool, Tel Aviv",Israel
18,High species richness and lineage diversity of reef corals in the mesophotic zone,PROCEEDINGS OF THE ROYAL SOCIETY B-BIOLOGICAL SCIENCES,2018,0,10.1098/rspb.2018.1987,Field-based,Australia,"Queensland Museum, Biodivers & Geosci, Townsville, Qld 4810",Australia
19,Maneuvering towards adaptive co-management in a coral reef fishery,MARINE POLICY,2018,0,10.1016/j.marpol.2018.09.016,Field-based,French Polynesia,"San Diego State Univ, Dept Anthropol, 5500 Campanile Dr, San Diego",United States
20,"Outbreak densities of the coral predator Drupella in relation to in situ Acropora growth rates on Ningaloo Reef, Western Australia",CORAL REEFS,2018,0,10.1007/s00338-018-01748-7,Field-based,Australia,"CSIRO, Oceans & Atmosphere, 64 Fairway, Crawley, WA 6009, Univ Western Australia, Oceans Inst, 64 Fairway, Crawley, WA 6009, Univ Western Australia, Sch Plant Biol, 64 Fairway, Crawley, WA 6009",Australia
21,Coral expansion in Sydney and associated coral-reef fishes,CORAL REEFS,2018,0,10.1007/s00338-018-1727-5,Field-based,Australia,"Univ Technol, Fish Ecol Lab, Sydney, NSW 2007",Australia
24,"Patterns of coexistence of six anemonefish species around subtropical Okinawa-jima Island, Japan",CORAL REEFS,2018,1,10.1007/s00338-018-01740-1,Field-based,Japan,"Univ Ryukyus, Grad Sch Engn & Sci, 1 Senbaru, Nishihara, Okinawa 9030213",Japan
25,Holdfasts of Sargassum swartzii are resistant to herbivory and resilient to damage,CORAL REEFS,2018,0,10.1007/s00338-018-01745-w,Field-based,Australia,"James Cook Univ, ARC Ctr Excellence Coral Reef Studies, Townsville, Qld 4811",Australia
28,The world's largest parrotfish has slow growth and a complex reproductive ecology,CORAL REEFS,2018,0,10.1007/s00338-018-1723-9,Field-based,Solomon Islands,"Pacific Otolith Serv, Honolulu",United States
29,eDNA detection of corallivorous seastar (Acanthaster cf. solaris) outbreaks on the Great Barrier Reef using digital droplet PCR,CORAL REEFS,2018,0,10.1007/s00338-018-1734-6,Field-based,Australia,"Australian Inst Marine Sci, PMB 3, Townsville, Qld 4810",Australia
30,Conserved behavioral circuits govern high-speed decision-making in wild fish shoals,PROCEEDINGS OF THE NATIONAL ACADEMY OF SCIENCES OF THE UNITED STATES OF AMERICA,2018,0,10.1073/pnas.1809140115,Field-based,French Polynesia,"NOAA, Southwest Fisheries Sci Ctr, Santa Cruz, Univ Calif Santa Cruz, Inst Marine Sci, Santa Cruz",United States
31,The influence of depth and a subsea pipeline on fish assemblages and commercially fished species,PLOS ONE,2018,0,10.1371/journal.pone.0207703,Field-based,Australia,"Univ Western Australia, Sch Biol Sci, Crawley, WA, Univ Western Australia, UWA Oceans Inst, Crawley, WA",Australia
34,Marginal sinks or potential refuges? Costs and benefits for coral-obligate reef fishes at deep range margins,PROCEEDINGS OF THE ROYAL SOCIETY B-BIOLOGICAL SCIENCES,2018,0,10.1098/rspb.2018.1545,Field-based,Papua New Guinea,"James Cook Univ, Australian Res Council Ctr Excellence Coral Reef, Townsville, Qld 4811, James Cook Univ, Marine Biol & Aquaculture Sci, Coll Sci & Engn, Townsville, Qld 4811",Australia
36,Discordance between diet analysis and dietary macronutrient content in four nominally herbivorous fishes from the Southwestern Atlantic,MARINE BIOLOGY,2018,1,10.1007/s00227-018-3438-4,Field-based,Brazil,"Univ Fed Fluminense, Dept Biol Marinha, Reef Syst Ecol & Conservat Lab, BR-24001970 Niteroi, RJ, Univ Fed Rio de Janeiro, Dept Ecol, BR-21941902 Rio De Janeiro, RJ",Brazil
37,Ecological interactions between Gulf of Mexico snappers (Teleostei: Lutjanidae) and invasive red lionfish (Pterois volitans),PLOS ONE,2018,0,10.1371/journal.pone.0206749,Field-based,United States,"Dauph Isl Sea Lab, Dauphin Isl, NOAA, ECS Fed LLC, Natl Marine Fisheries Serv, Off Sci & Technol, Silver Spring, Univ S Alabama, Dept Marine Sci, Mobile",United States
38,"Too hot to handle? Using movement to alleviate effects of elevated temperatures in a benthic elasmobranch, Hemiscyllium ocellatum",MARINE BIOLOGY,2018,0,10.1007/s00227-018-3427-7,Field-based,Australia,"James Cook Univ, ARC Ctr Excellence Coral Reef Studies, Townsville, Qld 4811, James Cook Univ, Coll Marine & Environm Sci, Townsville, Qld 4811, Macquarie Univ, Dept Biol Sci, Sydney, NSW 2109",Australia
