article_id,title,journal,pub_year,times_cited,doi,study_type_2,affiliation,affiliation_country,affiliation_airport,affiliation_airport_code,fieldstudy_country,field_study_location,field_airport,field_airport_code
81,An outbreak of sea cucumbers hinders coral recruitment,CORAL REEFS,2018,0,10.1007/s00338-017-1654-x,Field-based,"Chinese Acad Sci, South China Sea Inst Oceanol, Key Lab Trop Marine Bioresources & Ecol, Guangdong Prov Key Lab Appl Marine Biol, 164 Xingang West Rd, Guangzhou 510301, Guangdong",Peoples R China,,,China,,,
84,Coral larvae change their settlement preference for crustose coralline algae dependent on availability of bare space,CORAL REEFS,2018,1,10.1007/s00338-018-1665-2,Field-based,"CIEE Res Stn Bonaire, Kralendijk, Victoria Univ Wellington, Sch Biol Sci, POB 600, Wellington 6140","Bonaire, New Zealand",Bonaire,BON,United States,Honolulu,Honolulu International Airport,HNL
86,"Meteorologic, oceanographic, and geomorphic controls on circulation and residence time in a coral reef-lined embayment: Faga'alu Bay, American Samoa",CORAL REEFS,2018,0,10.1007/s00338-018-1671-4,Field-based,"US Geol Survey, Pacific Coastal & Marine Sci Ctr, Santa Cruz",United States,Santa Cruz,SPC,American Samoa,Pago Pago International Airport,Pago Pago International Airport,PPG
87,"Influence of prior residents on settlement preferences in the anemonefish, Premnas biaculeatus",CORAL REEFS,2018,0,10.1007/s00338-018-1676-z,Field-based,"James Cook Univ, ARC Ctr Excellence Coral Reef Studies, Townsville, Qld 4811, James Cook Univ, Coll Sci & Engn, Marine Biol & Aquaculture, Townsville, Qld 4811, Univ Delaware, Sch Marine Sci & Policy, 700 Pilottown Rd, Lewes","Australia, United States",,TSV,Australia,,,
87,"Influence of prior residents on settlement preferences in the anemonefish, Premnas biaculeatus",CORAL REEFS,2018,0,10.1007/s00338-018-1676-z,Field-based,"James Cook Univ, ARC Ctr Excellence Coral Reef Studies, Townsville, Qld 4811, James Cook Univ, Coll Sci & Engn, Marine Biol & Aquaculture, Townsville, Qld 4811, Univ Delaware, Sch Marine Sci & Policy, 700 Pilottown Rd, Lewes","Australia, United States",,TSV,Papua New Guinea,,,
90,Snapping shrimp sound production patterns on Caribbean coral reefs: relationships with celestial cycles and environmental variables,CORAL REEFS,2018,1,10.1007/s00338-018-1684-z,Field-based,"Woods Hole Oceanog Inst, Woods Hole",United States,Woods Hole,BOS,United States Virgin Islands,St. John,Cyril E. King Airport,STT
91,"Tube microstructure and formation in some feather duster worms (Polychaeta, Sabellidae)",MARINE BIOLOGY,2018,0,10.1007/s00227-018-3357-4,Field-based,"Univ Tartu, Inst Ecol & Earth Sci, Ravila 14A, EE-50411 Tartu",Estonia,,,Indonesia,,,
91,"Tube microstructure and formation in some feather duster worms (Polychaeta, Sabellidae)",MARINE BIOLOGY,2018,0,10.1007/s00227-018-3357-4,Field-based,"Univ Tartu, Inst Ecol & Earth Sci, Ravila 14A, EE-50411 Tartu",Estonia,Tartu,TAY,Mexico,"Vera Cruz, Gulf of Mexico",Veracruz General Jara,VER
91,"Tube microstructure and formation in some feather duster worms (Polychaeta, Sabellidae)",MARINE BIOLOGY,2018,0,10.1007/s00227-018-3357-4,Field-based,"Univ Tartu, Inst Ecol & Earth Sci, Ravila 14A, EE-50411 Tartu",Estonia,,,Poland,,,
95,Ocean acidification alters early successional coral reef communities and their rates of community metabolism,PLOS ONE,2018,1,10.1371/journal.pone.0197130,Field-based,"Australian Inst Marine Sci, Townsville, Qld",Australia,Townsville,TSV,Papua New Guinea,Milne Bay Province,Gurney Airport,GUR
99,Coral Reef Carbonate Chemistry Variability at Different Functional Scales,FRONTIERS IN MARINE SCIENCE,2018,1,10.3389/fmars.2018.00175,Field-based,"Monterey Bay Aquarium Res Inst, Moss Landing",United States,Moss Landing,WVI,Bermuda,Baileys Bay,L.F Wade International Airport,BDA
101,Habitat degradation negatively affects auditory settlement behavior of coral reef fishes,PROCEEDINGS OF THE NATIONAL ACADEMY OF SCIENCES OF THE UNITED STATES OF AMERICA,2018,2,10.1073/pnas.1719291115,Field-based,"Univ Exeter, Coll Life & Environm Sci, Biosci, Exeter EX4 4QD, Devon",United Kingdom,Devon,EXT,Australia,Cooktown,Cooktown Airport,CTN
104,Corals in Healthy Populations Produce More Larvae Per Unit Cover,CONSERVATION LETTERS,2018,3,10.1111/conl.12410,Field-based,"Univ Calif San Diego, Scripps Inst Oceanog, Ctr Marine Biodivers & Conservat, La Jolla",United States,San Diego,SAN,Curacao,Curaçao,Curaçao International Airport,CUR
106,Social fit of coral reef governance varies among individuals,CONSERVATION LETTERS,2018,2,10.1111/conl.12422,Field-based,"Univ Exeter, ESI, Cornwall Campus, Penryn, Univ West Indies, Ctr Resource Management & Environm Studies CERMES, Cave Hill Campus, Wanstead","United Kingdom, Barbados",Penryn,NQY,Barbados,Pile Bay,Grantley Adams International Airport,BGI
