article_id,title,journal,pub_year,times_cited,doi,study_type_2,affiliation,affiliation_country,affiliation_airport,affiliation_airport_code,fieldstudy_country,field_study_location,field_airport,field_airport_code
39,Effect of Coral-Algal Interactions on Early Life History Processes in Pocillopora acuta in a Highly Disturbed Coral Reef System,FRONTIERS IN MARINE SCIENCE,2018,0,10.3389/fmars.2018.00385,Field-based,"Univ New South Wales, Sch Biol Earth & Environm Sci, Ctr Marine Bioinnovat, Sydney, NSW",Australia,Sydney,SYD,Singapore,Singapore’s southern islands,Singapore Changi Airport,SIN
41,"Growth, site fidelity, and grouper interactions of the Red Sea lionfish Pterois miles (Scorpaenidae) in its native habitat",MARINE BIOLOGY,2018,0,10.1007/s00227-018-3436-6,Field-based,"Amer Univ Cairo, Dept Biol, New Cairo 11835, Amer Univ Cairo, John D Gerhart Field Stn, El Gouna, Nat Biodivers Ctr, NL-2300 RA Leiden","Egypt, Netherlands",New Cairo,NAC,Egypt,Hurghada,Hurghada International Airport,HRG
43,Interactive effects of herbivory and substrate orientation on algal community dynamics on a coral reef,MARINE BIOLOGY,2018,2,10.1007/s00227-018-3411-2,Field-based,"Florida Int Univ, Dept Biol Sci, 11200 SW 8th St, Miami",United States,NA,NA,United States,NA,NA,NA
44,"Trophic niches through ontogeny in 12 species of Indo-Pacific marine Clupeoidei (herrings, sardines, and anchovies)",MARINE BIOLOGY,2018,0,10.1007/s00227-018-3410-3,Field-based,"Univ Minnesota, Bell Museum Nat Hist, 100 Ecol,1987 Upper Buford Circle, St Paul, Univ Minnesota, Conservat Sci Grad Program, 135B Skok Hall,2003 Upper Buford Circle, St Paul",United States,NA,NA,Australia,NA,NA,NA
44,"Trophic niches through ontogeny in 12 species of Indo-Pacific marine Clupeoidei (herrings, sardines, and anchovies)",MARINE BIOLOGY,2018,0,10.1007/s00227-018-3410-3,Field-based,"Univ Minnesota, Bell Museum Nat Hist, 100 Ecol,1987 Upper Buford Circle, St Paul, Univ Minnesota, Conservat Sci Grad Program, 135B Skok Hall,2003 Upper Buford Circle, St Paul",United States,NA,NA,"Taiwan, Province Of China",NA,NA,NA
44,"Trophic niches through ontogeny in 12 species of Indo-Pacific marine Clupeoidei (herrings, sardines, and anchovies)",MARINE BIOLOGY,2018,0,10.1007/s00227-018-3410-3,Field-based,"Univ Minnesota, Bell Museum Nat Hist, 100 Ecol,1987 Upper Buford Circle, St Paul, Univ Minnesota, Conservat Sci Grad Program, 135B Skok Hall,2003 Upper Buford Circle, St Paul",United States,NA,NA,Thailand,NA,NA,NA
45,Molecular Response to Extreme Summer Temperatures Differs Between Two Genetically Differentiated Populations of a Coral Reef Fish,FRONTIERS IN MARINE SCIENCE,2018,0,10.3389/fmars.2018.00349,Field-based,"James Cook Univ, ARC Ctr Excelienoe Coral Reef Studies, Townsville, Qld",Australia,Townsville,TSV,Australia,Indo-Australian archipelago,Ninoy Aquino International Airport,MNL
46,Revisiting GUD: An empirical test of the size-dependency of patch departure behaviour,PLOS ONE,2018,0,10.1371/journal.pone.0204448,Field-based,"Univ Salento, Dept Biol & Environm Sci & Technol, Lab Ecol, Lecce",Italy,Lecce,LCC,Italy,Puglia,Aeroporto di Lecce San Cataldo,LCC
47,Impact of the Use of a Teaching Toolbox in an Awareness Campaign on Children's Representations of Coral Reefs,FRONTIERS IN MARINE SCIENCE,2018,0,10.3389/fmars.2018.00340,Field-based,"CNRS, UR, IRD, UMR ENTROPIE, St Clotilde, Labex Corail, Perpignan","Reunion, France",NA,NA,New Caledonia,NA,NA,NA
49,"Impacts of a Regional, Multi-Year, Multi-Species Coral Disease Outbreak in Southeast Florida",FRONTIERS IN MARINE SCIENCE,2018,0,10.3389/fmars.2018.00323,Field-based,"Nova Southeastern Univ, Halmos Coll Nat Sci & Oceanog, Dania",United States,Dania,FLL,United States,"Miami-Dade County, Florida",Miami International Airport,MIA
50,Rapid bioerosion in a tropical upwelling coral reef,PLOS ONE,2018,0,10.1371/journal.pone.0202887,Field-based,"ZMT, Leibniz Ctr Trop Marine Res, Bremen",Germany,Bremen,BRE,Costa Rica,"Matapal, Gulf of Papagayo",Drake Bay Airport,DRK
51,"Fish, Coral, and Sponge Assemblages Associated With Altiphotic and Mesophotic Reefs Along the Guanica Biosphere Reserve Continental Shelf Edge, Southwest Puerto Rico",FRONTIERS IN MARINE SCIENCE,2018,0,10.3389/fmars.2018.00303,Field-based,"Univ Puerto Rico, Dept Marine Sci, Mayaguez",United States,Mercedita/Ponce International Airport,PSE,United States,"Guanica, Puerto Rick",Mercedita/Ponce International Airport,PSE
52,Local human activities limit marine protection efficacy on Caribbean coral reefs,CONSERVATION LETTERS,2018,1,10.1111/conl.12571,Field-based,"Univ Nacl Autonoma Mexico, Posgrad Ciencias Mar Limnol, Mexico City, DF, Univ Nacl Autonoma Mexico, Unidad Acad Sistemas Arrecifales, Inst Ciencias Mar & Limnol, Biodivers & Reef Conservat Lab, Quintana Roo",Mexico,Mexico City,MEX,Mexico,Mexican Caribbean,Cancun International Airport,CUN
53,The effects of suspended sediment on coral reef fish assemblages and feeding guilds of north-west Australia,CORAL REEFS,2018,1,10.1007/s00338-018-1690-1,Field-based,"Univ Western Australia, UWA Oceans Inst, 35 Stirling Hwy, Crawley, WA 6009",Australia,Perth,PER,Australia,"Onslow, Western Australia",Onslow Airport,ONS
54,In situ shifts of predominance between autotrophic and heterotrophic feeding in the reef-building coral Mussismilia hispida: an approach using fatty acid trophic markers,CORAL REEFS,2018,0,10.1007/s00338-018-1692-z,Field-based,"Univ Sao Paulo, Oceanog Inst, Dept Biol Oceanog, Praca Oceanog 191 Cidade Univ, BR-05508120 Sao Paulo, SP",Brazil,NA,NA,Brazil,NA,NA,NA
55,Nitrogen fixation and diversity of benthic cyanobacterial mats on coral reefs in Curacao,CORAL REEFS,2018,0,10.1007/s00338-018-1713-y,Field-based,"Leibniz Ctr Trop Marine Ecol ZMT, Fahrenheitstr 6, D-28359 Bremen, Max Planck Inst Marine Microbiol MPI Bremen, Celsiusstr 1, D-28359 Bremen, PSL Res Univ, EPHE, UPVD CNRS, CRIOBE USR3278, F-66860 Perpignan","Germany, France",Bremen,BRE,Curacao,Curacao,Curaçao International Airport,CUR
57,Sediment addition drives declines in algal turf yield to herbivorous coral reef fishes: implications for reefs and reef fisheries,CORAL REEFS,2018,1,10.1007/s00338-018-1718-6,Field-based,"James Cook Univ, ARC Ctr Excellence Coral Reef Studies, Townsville, Qld 4811, James Cook Univ, Coll Sci & Engn, Townsville, Qld 4811",Australia,NA,TSV,Australia,NA,NA,NA
59,Long-term variation in light intensity on a coral reef,CORAL REEFS,2018,2,10.1007/s00338-018-1721-y,Field-based,"Calif State Univ Northridge, Dept Biol, 18111 Nordhoff St, Northridge",United States,Northridge,BUR,United States,"St. John, US Virgin Islands",Cyril E. King Airpor,STT
